id,recipe_id,ingredient,quantity_imperial,unit_imperial,quantity_metric,unit_metric,notes
1243,300,Cyperous roots,1.0,ounce,31.1,g,
1244,300,"Calamus aromatic, Willow coals",1.0,ounce,31.1,g,
1245,300,"Storax calamite, Benjamin",2.0,drams,7.78,g,
1246,301,"Male Frankincense, Amber, Cloves, each",0.5,dram,1.95,g,
1247,301,"red Roses, Balaustines",2.0,drams,7.78,g,
1248,302,Beetles,3.0,drams,11.67,g,
1249,302,Eel skins minced small,1.0,dram,3.89,g,
1250,303,"Fistic nut peel, Myrrh, Amber",2.0,drams,7.78,g,
1251,303,"Sulphur vive, Orpiment",1.0,dram,3.89,g,
1252,304,white Poppy heads,0.5,ounce,15.55,g,
1253,304,Mullein,0.5,handful,0.5,handful,
1254,304,Frankincense each,0.5,dram,1.95,g,
1255,304,Mastic,1.0,dram,3.89,g,
1256,305,Plantain water,10.0,ounces,311.0,g,
1257,305,red Rose water,3.0,ounces,93.3,g,
1258,305,Syrup of Mulberries,2.0,ounces,62.2,g,
1259,305,Honey of Roses strained,1.0,ounce,31.1,g,
1260,307,Columbines,2.0,handfuls,2.0,handfuls,
1261,307,inner rind of Elm,1.0,ounce,31.1,g,
1262,307,"Jews Ears, Liquorice, Album Graecum, each",0.5,ounce,15.55,g,
1263,307,boil in Water 2 pints and half to,26.0,ounces,808.6,g,
1264,307,in the strain'd dissolve Salt Armoniac,2.0,drams,7.78,g,
1265,307,"Syrup of Raspberries, Honey of Roses",3.0,ounces,93.3,g,
1266,308,Hysop water,10.0,ounces,311.0,g,
1267,308,Rectify'd Spirit of Wine,1.0,ounce,31.1,g,
1268,308,Spirit of Scurvy grass,0.5,ounce,15.55,g,
1269,308,Spirit of Castor,2.0,drams,7.78,g,
1270,308,Spirit of Salt Armoniac,4.0,scruples,5.18,g,
1271,308,powder'd Pellitory of Spain,1.0,dram,3.89,g,
1272,308,Honey,4.0,ounces,124.4,g,
1273,309,Plantain Water,8.0,ounces,248.8,g,
1274,309,red Rose water,4.0,ounces,124.4,g,
1275,309,Salt prunel,4.0,scruples,5.18,g,
1276,309,Syrup of Marsh Mallows,4.0,ounces,124.4,g,
1277,310,Columbines,4.0,handfuls,4.0,handfuls,
1278,310,long Pepper,4.0,scruples,5.18,g,
1279,310,Myrrh,2.0,drams,7.78,g,
1280,310,"boil in Water 1 quart, and white Wine half a pint to",26.0,ounces,808.6,g,
1281,310,"to the strain'd add Brandy, Syrup of Raspberries and Mulberries",2.0,ounces,62.2,g,
1282,311,"French Barly, Liquorice, each",0.5,ounce,15.55,g,
1283,311,"Marsh Mallow roots, Tares",1.0,ounces,31.1,g,
1284,311,Jews Ears,1.0,handful,1.0,handful,
1285,311,boil in Water 2 pints and half to,28.0,ounces,870.8,g,
1286,311,in the strain'd dissolve Oxymel simple and Honey of Roses,2.0,ounces,62.2,g,
1287,312,red Astringent Wine,1.0,pint,473.0,ml,
1288,312,powder'd Myrrh,2.0,drams,7.78,g,
1289,313,Pellitory of Spain,0.5,ounce,15.55,g,
1290,313,Seeds of white Poppy and Henbane,2.0,drams,7.78,g,
1291,313,Cloves,0.5,dram,1.95,g,
1292,313,white Wine,0.5,pint,236.5,ml,
1293,313,Vinegar,4.0,ounces,124.4,g,
1294,313,boil 'till it come to,0.5,pint,236.5,ml,
1295,313,then strain and add Brandy,2.0,ounces,62.2,g,
1296,314,dry'd red Rose flowers,3.0,drams,11.67,g,
1297,314,Pomgranate flowers and peel,2.0,drams,7.78,g,
1298,314,"Myrtle berries, powder'd Bole and Japanic Earth",1.0,dram,3.89,g,
1299,314,boil in Plantain Water and rough red Wine,6.0,ounces,186.6,g,
1300,314,in the strain'd dissolve Honey of Roses,2.0,ounces,62.2,g,
1301,315,"Vine leaves, Sage, female Fluellin, Cinquefoil, Bramble Buds, each",0.5,handful,0.5,handful,
1302,315,"boil in Water 1 pint and half to 1 pint, to the strain'd add Alum",1.0,dram,3.89,g,
1303,315,"Vinegar, Honey",2.0,ounces,62.2,g,
1304,316,Comfrey roots,2.0,ounces,62.2,g,
1305,316,Gum Arabic,1.0,ounces,31.1,g,
1306,316,boil in Barley Water,20.0,ounces,622.0,g,
1307,316,"strain and red (175, 176) Rose water",1.0,ounces,31.1,g,
1308,316,Syrup of Marsh Mallows,3.0,ounces,93.3,g,
1309,317,white Wine,0.5,pint,236.5,ml,
1310,317,Mustard made up as it comes to Tables,2.0,ounces,62.2,g,
1311,317,Savory (or Thyme) water,4.0,ounces,124.4,g,
1312,317,Honey of Roses,2.0,ounces,62.2,g,
1313,318,"waters of Frogs Spawn, Plantain and Elder flowers",4.0,ounces,124.4,g,
1314,318,red Rose water,2.0,ounces,62.2,g,
1315,318,white Sugar,1.0,ounce,31.1,g,
1316,319,Madder roots,1.0,ounce,31.1,g,
1317,319,"Pellitory of Spain, Winters Cinnamon",2.0,drams,7.78,g,
1318,319,"Honey suckle leaves, Sage, Sanicle, Columbines",1.0,handful,1.0,handful,
1319,319,boil in Lime water 2 pints and half to,28.0,ounces,870.8,g,
1320,319,to the strain'd add Spirit of Scurvy grass,0.5,ounce,15.55,g,
1321,319,Honey of Roses,4.0,ounces,124.4,g,
1322,320,"Roots of Marsh Mallow, Liquorice, Pearl Barley",1.0,ounce,31.1,g,
1323,320,Bran (ty'd up in a Rag),1.0,handful,1.0,handful,
1324,320,"inner Rind of Elm, Gum Arabic each an",0.5,ounce,15.55,g,
1325,320,"Figs 8. Boil in Water 3pints, in",28.0,ounces,870.8,g,
1326,320,Lohoch Sanans,0.5,ounce,15.55,g,
1327,321,black Thorn bark,2.0,ounces,62.2,g,
1328,321,boil it in Water 2 pints and half to,24.0,ounces,746.4,g,
1329,321,in the strain'd dissolve Alum,4.0,scruples,5.18,g,
1330,321,Vinegar,2.0,ounces,62.2,g,
1331,323,Broth of Sheeps Inwards (or Head),10.0,ounces,311.0,g,
1332,323,Lucatellus's Balsam,1.0,ounce,31.1,g,
1333,324,"Camomile Flowers, Bay Berries, each",0.5,ounce,15.55,g,
1334,324,"sweet Fennel, and Cummin Seeds (added at last)",2.0,drams,7.78,g,
1335,324,boil in Water to,12.0,ounces,373.2,g,
1336,324,"strain, and add Brandy",2.0,ounces,62.2,g,
1337,324,Oil Olive,1.0,ounce,31.1,g,
1338,324,Oil of Anniseed,2.0,drams,7.78,g,
1339,325,"Canary Wine, Linseed Oil",6.0,ounces,186.6,g,
1340,325,to which may be added Liquid Laudanum,40.0,drops,2.48,ml,
1341,326,Canary Wine,1.0,pint,473.0,ml,
1342,326,Diascordium,0.5,ounce,15.55,g,
1343,327,"dry'd Wormwood, Centory, each 1 handful: Camomile flowers, Bay berries",3.0,drams,11.67,g,
1344,327,boil in Sheeps-head-Broth to,10.0,ounces,311.0,g,
1345,327,to the stain'd add Brandy,2.0,ounces,62.2,g,
1346,327,"Oil of Turpentine and Juniper, each",0.5,dram,1.95,g,
1347,328,Milk,10.0,ounces,311.0,g,
1348,328,Oil of Camomile,3.0,ounces,93.3,g,
1349,328,"Honey of Herb Mercury, Brown Sugar and Pulp of Cassia",1.0,ounce,31.1,g,
1350,328,Oil of Aniseed,0.5,dram,1.95,g,
1351,329,Peruvian Bark fine powder'd,2.0,ounces,62.2,g,
1352,329,boil in several Waters 'till it come to,0.5,pint,236.5,ml,
1353,329,"let it pass through a Sieve, so as to be turbid and add Diascordium",0.5,ounce,15.55,g,
1354,329,Oil of Aniseed,1.0,drop,0.06,ml,
1355,330,new Milk,3.0,ounces,93.3,g,
1356,330,"Oil of sweet Almonds, Syrup of Violets, each",0.5,ounce,15.55,g,
1357,330,Oil of Aniseed,12.0,drops,0.74,ml,
1358,331,powder'd white Chalk,0.5,ounce,15.55,g,
1359,331,"Camomila flowers, each",0.5,handful,0.5,handful,
1360,331,boil in Water half a pint to,4.0,ounces,124.4,g,
